,id,Category_name,Category_number,Product,Manufacturer / product label / country of origin,Procured_in,Antioxidant_content_in_mmol/100g,Comment,Query,Amazon_url
50,51,Berries and berry products,1,"Cranberry, syrup, without sugar (undiluted)","Corona, Norway",Norway,1.93,3,Cranberry++syrup++without+sugar++undiluted+,https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=Cranberry++syrup++without+sugar++undiluted+
51,52,Berries and berry products,1,Crowberries,"Skjervøy, Norway",Norway,7.89,3,Crowberries,https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=Crowberries
52,53,Berries and berry products,1,Crowberries,Norway,Norway,2.48,4,Crowberries,https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=Crowberries
53,54,Berries and berry products,1,Crowberries,Norway,Norway,8.45,4,Crowberries,https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=Crowberries
54,55,Berries and berry products,1,"Crowberries, frozen",Norway,Norway,10.8,4,Crowberries++frozen,https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=Crowberries++frozen
55,56,Berries and berry products,1,"Crowberry, syrup (undiluted)","Skjervøy, Norway",Norway,2.05,3,Crowberry++syrup++undiluted+,https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=Crowberry++syrup++undiluted+
56,57,Berries and berry products,1,"Crowberry, syrup, juice of peel (undiluted)","Midnattsol Produkter, Norway",Norway,4.5,3,Crowberry++syrup++juice+of+peel++undiluted+,https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=Crowberry++syrup++juice+of+peel++undiluted+
57,58,Berries and berry products,1,"Crowberry, syrup, without sugar (undiluted)","Corona, Norway",Norway,2.95,3,Crowberry++syrup++without+sugar++undiluted+,https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=Crowberry++syrup++without+sugar++undiluted+
58,59,Berries and berry products,1,"Crowberry, syrup, without sugar (undiluted)","Midnattsol Produkter, Norway",Norway,5.9,3,Crowberry++syrup++without+sugar++undiluted+,https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=Crowberry++syrup++without+sugar++undiluted+
59,60,Berries and berry products,1,Dog Rose,Norway,Norway,25.86,4,Dog+Rose,https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=Dog+Rose
60,61,Berries and berry products,1,Dog Rose,"Lørenskog, Norway",Norway,12.65,4,Dog+Rose,https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=Dog+Rose
61,62,Berries and berry products,1,Dog Rose,Setcases in Spain,Spain,14.16,4,Dog+Rose,https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=Dog+Rose
62,63,Berries and berry products,1,Dog Rose,Norway,Norway,34.49,4,Dog+Rose,https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=Dog+Rose
63,64,Berries and berry products,1,"Dog Rose, dried, whole","Helios, Norway",Norway,78.09,3,Dog+Rose++dried++whole,https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=Dog+Rose++dried++whole
64,65,Berries and berry products,1,"Dog Rose, powder",Chile,Norway,54.3,3,Dog+Rose++powder,https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=Dog+Rose++powder
65,66,Berries and berry products,1,"Dog Rose, powder, HybenMax","Fennomer Norge, Norway",Norway,20.82,3,Dog+Rose++powder++HybenMax,https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=Dog+Rose++powder++HybenMax
66,67,Berries and berry products,1,"Dog Rose, powder, Hyben‐ Vital","SunVita A/S, Denmark",Norway,28.49,3,Dog+Rose++powder++Hyben‐+Vital,https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=Dog+Rose++powder++Hyben‐+Vital
67,68,Berries and berry products,1,"Dog Roseshell, flour","Risenta, Finland",Norway,75.84,3,Dog+Roseshell++flour,https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=Dog+Roseshell++flour
68,69,Berries and berry products,1,"Elderberries, black (berries from common elder), wild",Norway,Norway,5.24,4,Elderberries++black++berries+from+common+elder+++wild,https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=Elderberries++black++berries+from+common+elder+++wild
69,70,Berries and berry products,1,"Elderberries, cultivated",Norwegian University of Life Sciences,Norway,3.37,5,Elderberries++cultivated,https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=Elderberries++cultivated
70,71,Berries and berry products,1,"Elderberry flowerdrink, concentrate",,Norway,0.06,3,Elderberry+flowerdrink++concentrate,https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=Elderberry+flowerdrink++concentrate
71,72,Berries and berry products,1,"Elderberry, syrup, without sugar (undiluted)","Helios, Norway",Norway,6.31,5,Elderberry++syrup++without+sugar++undiluted+,https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=Elderberry++syrup++without+sugar++undiluted+
72,73,Berries and berry products,1,"Goji Berries, organic, dried","Natural Food Market Erewhon, grown in China",USA,4.31,,Goji+Berries++organic++dried,https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=Goji+Berries++organic++dried
73,74,Berries and berry products,1,"Gooseberries, cultivated",Norway,Norway,1.45,3,Gooseberries++cultivated,https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=Gooseberries++cultivated
74,75,Berries and berry products,1,"Juice, blackberry, juice/syrup from canned blackberries","Nora, Stabburet, Norway",Norway,1.27,3,Juice++blackberry++juice/syrup+from+canned+blackberries,https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=Juice++blackberry++juice/syrup+from+canned+blackberries
75,76,Berries and berry products,1,"Juice, cranberry","Tine, Norway",Norway,0.75,3,Juice++cranberry,https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=Juice++cranberry
